Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Leandro,20,BRA,FC Tokyo,2020,1,Shimizu S-Pulse,FC Tokyo,90,1,0,1,1,2,2,0,0,0,3,0,4,1,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,2,Kashiwa Reysol,FC Tokyo,90,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,3,FC Tokyo,Kawasaki Frontale,90,0,0,0,0,3,1,0,0,1,3,1,2,0,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,4,Yokohama F. Marinos,FC Tokyo,74,2,0,0,0,3,2,0,0,0,5,2,1,1,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,5,FC Tokyo,Urawa Red Diamonds,90,0,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,6,Hokkaido Consadole Sapporo,FC Tokyo,90,0,1,0,0,3,1,1,0,2,1,0,3,1,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,8,FC Tokyo,Sagan Tosu,56,1,0,0,0,2,1,1,0,3,3,1,1,1,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,9,Cerezo Osaka,FC Tokyo,90,0,0,0,0,4,1,0,0,1,1,2,0,2,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,10,FC Tokyo,Nagoya Grampus,89,1,0,0,0,4,3,0,0,1,3,1,1,0,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,11,Sanfrecce Hiroshima,FC Tokyo,77,1,1,0,0,3,2,0,0,0,1,0,4,0,2,0,0,0
Leandro,20,BRA,FC Tokyo,2020,12,FC Tokyo,Shonan Bellmare,90,0,2,0,0,4,2,0,0,4,0,1,1,0,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,13,Gamba Osaka,FC Tokyo,90,1,1,1,1,3,1,0,0,1,2,1,7,1,1,0,0,0
Leandro,20,BRA,FC Tokyo,2020,14,Oita Trinita,FC Tokyo,83,0,0,0,0,3,0,0,0,0,3,1,1,1,0,0,0,0
Leandro,20,BRA,FC Tokyo,2020,15,FC Tokyo,Yokohama FC,90,0,0,0,0,5,0,0,0,1,1,3,2,0,0,0,0,0
