Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Samper, Sergi",6,ESP,Vissel Kobe,2020,1,Vissel Kobe,Yokohama FC,90,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,2,Vissel Kobe,Sanfrecce Hiroshima,64,0,0,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,3,Sagan Tosu,Vissel Kobe,73,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,5,Vissel Kobe,Shimizu S-Pulse,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,6,Cerezo Osaka,Vissel Kobe,74,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,8,Hokkaido Consadole Sapporo,Vissel Kobe,76,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,9,Vissel Kobe,Vegalta Sendai,68,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,10,Kashima Antlers,Vissel Kobe,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,11,Vissel Kobe,Kashiwa Reysol,90,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,12,Urawa Red Diamonds,Vissel Kobe,57,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,13,Vissel Kobe,Yokohama F. Marinos,29,0,1,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,14,Shonan Bellmare,Vissel Kobe,68,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,15,Kawasaki Frontale,Vissel Kobe,90,0,0,0,0,1,1,0,0,2,0,0,2,2,5,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,16,Vissel Kobe,FC Tokyo,79,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,17,Nagoya Grampus,Vissel Kobe,73,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,18,Vissel Kobe,Sagan Tosu,90,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,20,Yokohama F. Marinos,Vissel Kobe,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,21,Kashiwa Reysol,Vissel Kobe,58,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,23,Sanfrecce Hiroshima,Vissel Kobe,67,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,24,Vissel Kobe,Kawasaki Frontale,90,0,0,0,0,1,1,0,0,2,0,0,1,1,3,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,25,Vissel Kobe,Cerezo Osaka,90,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,26,Shimizu S-Pulse,Vissel Kobe,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,27,Vissel Kobe,Shonan Bellmare,70,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,29,Vissel Kobe,Nagoya Grampus,90,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,30,Vegalta Sendai,Vissel Kobe,81,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0
"Samper, Sergi",6,ESP,Vissel Kobe,2020,33,Vissel Kobe,Kashima Antlers,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
