Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,2,Yokohama FC,Hokkaido Consadole Sapporo,33,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,3,Kashima Antlers,Hokkaido Consadole Sapporo,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,4,Shonan Bellmare,Hokkaido Consadole Sapporo,90,0,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,5,Vegalta Sendai,Hokkaido Consadole Sapporo,45,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,6,Hokkaido Consadole Sapporo,FC Tokyo,90,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,8,Hokkaido Consadole Sapporo,Vissel Kobe,90,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,9,Shimizu S-Pulse,Hokkaido Consadole Sapporo,17,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,11,Hokkaido Consadole Sapporo,Oita Trinita,90,0,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,12,Sagan Tosu,Hokkaido Consadole Sapporo,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,13,Hokkaido Consadole Sapporo,Nagoya Grampus,90,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,14,Hokkaido Consadole Sapporo,Sanfrecce Hiroshima,90,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,15,Cerezo Osaka,Hokkaido Consadole Sapporo,90,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,16,Hokkaido Consadole Sapporo,Urawa Red Diamonds,90,0,0,0,0,1,0,0,0,2,0,0,1,2,4,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,17,Hokkaido Consadole Sapporo,Gamba Osaka,90,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,18,Hokkaido Consadole Sapporo,Kashiwa Reysol,90,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,19,Vissel Kobe,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,20,Hokkaido Consadole Sapporo,Vegalta Sendai,90,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,21,Hokkaido Consadole Sapporo,Shonan Bellmare,90,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,22,Nagoya Grampus,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,1,0,3,0,0,1,5,1,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,23,Hokkaido Consadole Sapporo,Kashima Antlers,90,0,0,0,0,1,0,0,0,1,1,0,0,4,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,24,Hokkaido Consadole Sapporo,Yokohama FC,45,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,25,Gamba Osaka,Hokkaido Consadole Sapporo,90,0,0,0,0,1,1,0,0,1,0,0,3,0,2,0,0,0
"Tanaka, Shunta",32,JPN,Consa Sapporo,2020,26,Kawasaki Frontale,Hokkaido Consadole Sapporo,90,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0
