Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Damião, Leandro",9,BRA,Kawa Frontale,2020,1,Kawasaki Frontale,Sagan Tosu,75,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,2,Kawasaki Frontale,Kashima Antlers,90,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,3,FC Tokyo,Kawasaki Frontale,83,1,2,0,0,5,2,0,0,3,1,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,4,Kawasaki Frontale,Kashiwa Reysol,85,1,0,0,0,3,1,0,0,1,1,0,1,1,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,5,Yokohama FC,Kawasaki Frontale,59,0,0,0,0,4,2,0,0,1,2,1,1,0,1,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,6,Vegalta Sendai,Kawasaki Frontale,45,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,7,Kawasaki Frontale,Shonan Bellmare,25,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,8,Gamba Osaka,Kawasaki Frontale,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,9,Kawasaki Frontale,Oita Trinita,90,1,0,0,0,2,1,0,0,1,0,0,2,0,4,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,10,Hokkaido Consadole Sapporo,Kawasaki Frontale,83,1,0,0,0,3,2,1,0,1,5,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,11,Kawasaki Frontale,Cerezo Osaka,15,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,12,Nagoya Grampus,Kawasaki Frontale,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,13,Kawasaki Frontale,Shimizu S-Pulse,76,1,1,0,0,5,2,0,0,0,1,0,1,1,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,14,Yokohama F. Marinos,Kawasaki Frontale,45,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,15,Kawasaki Frontale,Vissel Kobe,15,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,16,Kawasaki Frontale,Sanfrecce Hiroshima,70,1,0,0,0,1,1,0,0,1,1,0,2,2,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,17,Urawa Red Diamonds,Kawasaki Frontale,18,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,18,Kawasaki Frontale,Yokohama FC,45,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,19,Shonan Bellmare,Kawasaki Frontale,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,20,Cerezo Osaka,Kawasaki Frontale,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,21,Kawasaki Frontale,Vegalta Sendai,10,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,22,Sanfrecce Hiroshima,Kawasaki Frontale,81,1,0,0,0,4,2,0,0,2,3,0,1,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,23,Kawasaki Frontale,Nagoya Grampus,89,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,24,Vissel Kobe,Kawasaki Frontale,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,25,Kawasaki Frontale,FC Tokyo,89,0,0,0,0,3,0,0,0,4,3,1,1,2,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,26,Kawasaki Frontale,Hokkaido Consadole Sapporo,69,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,27,Kashima Antlers,Kawasaki Frontale,87,0,0,0,0,1,0,0,0,1,2,0,1,3,2,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,28,Oita Trinita,Kawasaki Frontale,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,29,Kawasaki Frontale,Gamba Osaka,81,1,1,0,0,8,4,0,0,3,2,0,1,0,1,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,30,Kawasaki Frontale,Yokohama F. Marinos,64,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,31,Shimizu S-Pulse,Kawasaki Frontale,57,0,1,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,32,Sagan Tosu,Kawasaki Frontale,24,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,33,Kawasaki Frontale,Urawa Red Diamonds,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Damião, Leandro",9,BRA,Kawa Frontale,2020,34,Kashiwa Reysol,Kawasaki Frontale,77,1,0,0,0,3,1,0,0,3,2,1,1,1,0,0,0,0
