Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,4,Oita Trinita,Vissel Kobe,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,5,Vissel Kobe,Shimizu S-Pulse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,8,Hokkaido Consadole Sapporo,Vissel Kobe,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,10,Kashima Antlers,Vissel Kobe,23,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,11,Vissel Kobe,Kashiwa Reysol,69,0,1,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,12,Urawa Red Diamonds,Vissel Kobe,90,0,0,0,0,2,0,0,0,0,1,0,2,1,3,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,13,Vissel Kobe,Yokohama F. Marinos,90,0,0,0,0,2,0,0,0,0,1,0,5,1,2,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,14,Shonan Bellmare,Vissel Kobe,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,15,Kawasaki Frontale,Vissel Kobe,67,0,0,0,0,0,0,0,0,1,1,0,4,1,3,0,0,0
"Yasui, Takuya",14,JPN,Vissel Kobe,2020,24,Vissel Kobe,Kawasaki Frontale,68,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,0
