Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,1,Vissel Kobe,Yokohama FC,90,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,2,Vissel Kobe,Sanfrecce Hiroshima,86,0,0,0,0,0,0,0,0,2,0,0,4,1,2,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,3,Sagan Tosu,Vissel Kobe,90,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,5,Vissel Kobe,Shimizu S-Pulse,71,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,6,Cerezo Osaka,Vissel Kobe,90,0,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,8,Hokkaido Consadole Sapporo,Vissel Kobe,90,0,1,0,0,1,0,0,0,1,1,0,2,0,3,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,9,Vissel Kobe,Vegalta Sendai,81,0,0,0,0,2,0,0,0,3,1,0,9,0,0,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,10,Kashima Antlers,Vissel Kobe,89,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,12,Urawa Red Diamonds,Vissel Kobe,90,0,0,0,0,2,0,0,0,0,1,0,3,1,2,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,13,Vissel Kobe,Yokohama F. Marinos,29,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,15,Kawasaki Frontale,Vissel Kobe,90,0,0,0,0,1,0,0,0,1,2,0,2,3,3,0,0,0
"Nishi, Daigo",22,JPN,Vissel Kobe,2020,24,Vissel Kobe,Kawasaki Frontale,90,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0
